Date,Open,High,Low,Close,Volume,Adj Close
12/1/2016,6783.79,6789.3,6688.41,6752.93,966722048,6752.93
11/1/2016,6954.22,6993.79,6903.61,6917.14,780871680,6917.14
10/3/2016,6899.33,6996.43,6898.09,6983.52,745408640,6983.52
9/1/2016,6781.51,6826.22,6723.21,6745.97,991756480,6745.97
8/1/2016,6724.43,6769.41,6678.45,6693.95,727709696,6693.95
7/1/2016,6504.33,6587.44,6498.56,6577.83,1099083136,6577.83
6/1/2016,6230.79,6233.18,6151.9,6191.93,887235456,6191.93
5/3/2016,6241.89,6270.03,6159.86,6185.59,895079360,6185.59
4/1/2016,6174.9,6174.9,6076.89,6146.05,747479040,6146.05
3/1/2016,6097.09,6153.75,6070.51,6152.88,933626240,6152.88
2/1/2016,6083.79,6115.11,5993.84,6060.1,833652800,6060.1
1/4/2016,6242.32,6242.32,6071.01,6093.43,707039808,6093.43
12/1/2015,6356.09,6402.36,6356.09,6395.65,809013824,6395.65
11/2/2015,6361.09,6364.42,6317.29,6361.8,522271616,6361.8
10/1/2015,6061.61,6172.78,6053.26,6072.47,873579584,6072.47
9/1/2015,6247.94,6247.94,6028.71,6058.54,1032091328,6058.54
8/3/2015,6696.299805,6764.799805,5768.200195,6247.899902,865353300,6247.899902
7/1/2015,6521,6813.399902,6430.399902,6696.299805,603538700,6696.299805
6/1/2015,6984.399902,7037.600098,6521,6521,710067700,6521
5/1/2015,6960.600098,7083.700195,6810.100098,6984.399902,868189100,6984.399902
4/1/2015,6773,7122.700195,6765.399902,6960.600098,777562800,6960.600098
3/2/2015,6946.700195,7065.100098,6693.799805,6773,831441600,6773
2/2/2015,6749.399902,6967.200195,6732,6946.700195,762007100,6946.700195
1/2/2015,6566.100098,6865,6298.200195,6749.399902,783045400,6749.399902
12/1/2014,6722.600098,6753.200195,6144.700195,6566.100098,672144400,6566.100098
11/3/2014,6546.5,6773.100098,6444.899902,6722.600098,755287400,6722.600098
10/1/2014,6622.700195,6622.799805,6072.700195,6546.5,922666400,6546.5
9/1/2014,6819.799805,6904.899902,6601.600098,6622.700195,740890700,6622.700195
8/1/2014,6730.100098,6831.200195,6528.700195,6819.799805,578589800,6819.799805
7/1/2014,6743.899902,6875.299805,6643.600098,6730.100098,612545800,6730.100098
6/2/2014,6844.5,6879,6701.600098,6743.899902,636800000,6743.899902
5/1/2014,6780,6894.899902,6766.799805,6844.5,753440700,6844.5
4/1/2014,6598.399902,6794.899902,6507.100098,6780,813595200,6780
3/3/2014,6809.700195,6827.200195,6492.600098,6598.399902,914147000,6598.399902
2/3/2014,6510.399902,6866.399902,6416.700195,6809.700195,911170800,6809.700195
1/1/2014,6749.100098,6867.399902,6421.299805,6510.399902,692800300,6510.399902
12/2/2013,6650.600098,6768.399902,6422.200195,6749.100098,497716300,6749.100098
11/1/2013,6731.399902,6780.100098,6614,6650.600098,624726000,6650.600098
10/1/2013,6462.200195,6819.899902,6316.899902,6731.399902,642822600,6731.399902
9/2/2013,6412.899902,6659.100098,6412.899902,6462.200195,760810700,6462.200195
8/1/2013,6621.100098,6696.600098,6386.700195,6412.899902,657870700,6412.899902
7/1/2013,6215.5,6662.200195,6185.200195,6621.100098,670378100,6621.100098
6/3/2013,6583.100098,6583.100098,6023.399902,6215.5,841375900,6215.5
5/1/2013,6430.100098,6875.600098,6409.799805,6583.100098,736621800,6583.100098
4/1/2013,6411.700195,6501.799805,6214.399902,6430.100098,699918300,6430.100098
3/1/2013,6360.799805,6534,6308.600098,6411.700195,751963200,6411.700195
2/1/2013,6276.899902,6412.399902,6216.700195,6360.799805,751850400,6360.799805
1/1/2013,5897.799805,6354.5,5897.799805,6276.899902,653272300,6276.899902
12/3/2012,5866.799805,5997,5852.899902,5897.799805,487277600,5897.799805
11/1/2012,5782.700195,5921.799805,5605.600098,5866.799805,766306800,5866.799805
10/1/2012,5742.100098,5928.299805,5738.600098,5782.700195,748642500,5782.700195
9/3/2012,5711.5,5932.600098,5634.899902,5742.100098,863149300,5742.100098
8/1/2012,5635.299805,5876.200195,5633,5711.5,621700600,5711.5
7/2/2012,5571.200195,5727.5,5478,5635.299805,697762100,5635.299805
6/1/2012,5320.899902,5623.899902,5229.799805,5571.200195,919348700,5571.200195
5/1/2012,5737.799805,5819.899902,5253.899902,5320.899902,922627500,5320.899902
4/2/2012,5768.5,5890.200195,5576.399902,5737.799805,871150800,5737.799805
3/1/2012,5871.5,5989.100098,5726.5,5768.5,1008201800,5768.5
2/1/2012,5681.600098,5964,5680.700195,5871.5,965794400,5871.5
1/2/2012,5572.299805,5806.200195,5572.299805,5681.600098,944030500,5681.600098
12/1/2011,5505.399902,5631.899902,5328.700195,5572.299805,683717500,5572.299805
11/1/2011,5544.200195,5616,5075.200195,5505.399902,1036359600,5505.399902
10/3/2011,5128.5,5747.299805,4868.600098,5544.200195,906418000,5544.200195
9/1/2011,5394.5,5449.700195,4928.100098,5128.5,981462300,5128.5
8/1/2011,5815.200195,5913.5,4791,5394.5,1177757800,5394.5
7/1/2011,5945.700195,6084.100098,5752.799805,5815.200195,858334900,5815.200195
6/1/2011,5990,5995.200195,5644.399902,5945.700195,920629500,5945.700195
5/2/2011,6069.899902,6103.700195,5810.5,5990,856853700,5990
4/1/2011,5908.799805,6091.799805,5858.299805,6069.899902,616625600,6069.899902
3/1/2011,5994,6052.100098,5591.600098,5908.799805,902998600,5908.799805
2/1/2011,5862.899902,6105.799805,5861,5994,896660800,5994
1/3/2011,5899.899902,6090.5,5815.399902,5862.899902,893930400,5862.899902
12/1/2010,5528.299805,6021.5,5528.299805,5899.899902,608807900,5899.899902
11/1/2010,5675.200195,5902.100098,5519.200195,5528.299805,940158000,5528.299805
10/1/2010,5548.600098,5794.299805,5547.600098,5675.200195,846282400,5675.200195
9/1/2010,5225.200195,5650.299805,5225.200195,5548.600098,858279300,5548.600098
8/2/2010,5258,5418.600098,5070.899902,5225.200195,880663100,5225.200195
7/1/2010,4916.899902,5411.5,4790,5258,989348300,5258
6/1/2010,5188.399902,5331.5,4898.5,4916.899902,1167238000,4916.899902
5/3/2010,5553.299805,5566,4898.5,5188.399902,1458301300,5188.399902
4/1/2010,5679.600098,5833.700195,5533.600098,5553.299805,1024344500,5553.299805
3/1/2010,5354.5,5742.799805,5354.5,5679.600098,1136370100,5679.600098
2/1/2010,5188.5,5395.5,5033,5354.5,1357714200,5354.5
1/1/2010,5412.899902,5600.5,5145.700195,5188.5,1128246700,5188.5
12/1/2009,5190.700195,5445.200195,5175.700195,5412.899902,896078300,5412.899902
11/2/2009,5044.600098,5397,4985.100098,5190.700195,1099827500,5190.700195
10/1/2009,5133.899902,5299.600098,4955,5044.600098,1175008400,5044.600098
9/1/2009,4908.899902,5190,4776.5,5133.899902,1078838400,5133.899902
8/3/2009,4608.399902,4944.200195,4595.600098,4908.899902,981739400,4908.899902
7/1/2009,4249.200195,4646.899902,4096.100098,4608.399902,1035949000,4608.399902
6/1/2009,4417.899902,4517.600098,4213.399902,4249.200195,1211867400,4249.200195
5/1/2009,4243.700195,4520.799805,4210.799805,4417.899902,1144795500,4417.899902
4/1/2009,3926.100098,4293.600098,3838.199951,4243.700195,1209869000,4243.700195
3/2/2009,3830.100098,3992.399902,3460.699951,3926.100098,1546607800,3926.100098
2/2/2009,4149.600098,4334,3760.699951,3830.100098,1314139100,3830.100098
1/1/2009,4434.200195,4675.700195,3956.699951,4149.600098,1314826700,4149.600098
12/1/2008,4288,4456.200195,3973.300049,4434.200195,883041400,4434.200195
11/3/2008,4377.299805,4639.5,3734.100098,4288,1385633200,4288
10/1/2008,4902.5,5052,3665.199951,4377.299805,1787070900,4377.299805
9/1/2008,5636.600098,5646.5,4671,4902.5,1628039500,4902.5
8/1/2008,5411.899902,5649.100098,5299.700195,5636.600098,1171756000,5636.600098
7/1/2008,5625.899902,5625.899902,5071.100098,5411.899902,1734753100,5411.899902
6/2/2008,6053.5,6074.5,5470.899902,5625.899902,1541399800,5625.899902
5/1/2008,6087.299805,6377,6041.100098,6053.5,1134355600,6053.5
4/1/2008,5702.100098,6134.5,5670.399902,6087.299805,1201377200,6087.299805
3/3/2008,5884.299805,5884.299805,5414.399902,5702.100098,1504445600,5702.100098
2/1/2008,5879.799805,6104.5,5681.5,5884.299805,1426953200,5884.299805
1/1/2008,6456.899902,6534.700195,5338.700195,5879.799805,1577848700,5879.799805
12/3/2007,6432.5,6610.899902,6251.799805,6456.899902,942762600,6456.899902
11/1/2007,6721.600098,6723.700195,6026.899902,6432.5,1551392100,6432.5
10/1/2007,6466.799805,6751.700195,6413.399902,6721.600098,1876187700,6721.600098
9/3/2007,6303.299805,6512.399902,6123.100098,6466.799805,1893980500,6466.799805
8/1/2007,6360.100098,6406.299805,5821.700195,6303.299805,1734011500,6303.299805
7/2/2007,6607.899902,6754.100098,6186.200195,6360.100098,1846057600,6360.100098
6/1/2007,6621.399902,6751.299805,6451.399902,6607.899902,1982709200,6607.899902
5/1/2007,6449.200195,6675,6395.5,6621.5,1831019300,6621.5
4/2/2007,6308,6516.200195,6293.899902,6449.200195,1568513800,6449.200195
3/1/2007,6171.5,6355.299805,5989.600098,6308,1937028800,6308
2/1/2007,6203.100098,6451.399902,6166.200195,6171.5,1763028600,6171.5
1/1/2007,6220.799805,6335.100098,6130.200195,6203.100098,1697610900,6203.100098
12/1/2006,6048.799805,6271.399902,5985.200195,6220.799805,1236490700,6220.799805
11/1/2006,6129.200195,6256.799805,6011.799805,6048.899902,1690671900,6048.899902
10/2/2006,5960.799805,6244.600098,5897.299805,6129.200195,1661140400,6129.200195
9/1/2006,5906.100098,6002.899902,5774.5,5960.799805,1593479600,5960.799805
8/1/2006,5928.299805,5949.799805,5752.600098,5906.100098,1355133200,5906.100098
7/3/2006,5833.399902,5982.5,5654.600098,5928.299805,1403843100,5928.299805
6/1/2006,5723.799805,5865.700195,5467.399902,5833.399902,1709102100,5833.399902
5/1/2006,6023.100098,6133.5,5510.5,5723.799805,1833539600,5723.799805
4/3/2006,5964.600098,6137.100098,5964.600098,6023.100098,1621001600,6023.100098
3/1/2006,5791.5,6047,5783.899902,5964.600098,1991586200,5964.600098
2/1/2006,5760.299805,5893.299805,5681.899902,5791.5,1974727800,5791.5
1/2/2006,5618.799805,5796.100098,5618.799805,5760.299805,1877363300,5760.299805
12/1/2005,5423.200195,5647.200195,5423.200195,5618.799805,1330302900,5618.799805
11/1/2005,5317.299805,5554.899902,5304.899902,5423.200195,1868493900,5423.200195
10/3/2005,5477.700195,5515,5130.899902,5317.299805,1739025100,5317.299805
9/1/2005,5296.899902,5508.399902,5296.899902,5477.700195,1553471300,5477.700195
